Nationality,ATLAS,CMS,ALICE,LHCB,LHC,SPS,PS,RE,R&D,ISOLDE,Other,Total,Research physicists,Scientific & Engineering work,Technical work,Manual work,Professional administrative work,Total
AT,18,47,2,0,0,0,13,6,2,4,15,107,93,6,7,0,1,107
BE,12,70,1,1,0,3,2,1,0,19,3,112,103,5,3,0,1,112
BG,8,42,3,5,0,12,0,0,0,11,1,82,71,8,2,0,1,82
CH,59,45,4,28,1,9,6,16,7,3,19,197,145,21,22,2,7,197
CY,5,15,0,1,0,2,0,0,0,1,0,24,23,1,0,0,0,24
CZ,134,7,27,1,11,23,10,3,11,2,11,240,188,38,12,1,1,240
DE,436,233,141,88,2,72,29,81,25,73,55,1235,1129,50,47,0,9,1235
DK,18,3,11,3,0,7,0,0,2,13,6,63,54,6,3,0,0,63
ES,102,89,7,50,0,4,25,30,17,38,27,389,324,46,17,0,2,389
FI,2,43,8,0,6,1,10,0,0,9,19,98,89,4,1,0,4,98
FR,250,124,104,69,1,41,10,44,34,26,84,787,511,196,67,0,13,787
GB,307,105,26,110,2,17,8,10,11,59,51,706,606,63,33,0,4,706
GR,93,57,8,3,2,1,7,5,6,6,22,210,180,24,5,0,1,210
HU,4,26,21,0,1,4,0,0,3,6,2,67,58,7,0,0,2,67
IL,42,1,0,2,0,1,0,0,3,0,5,54,39,6,9,0,0,54
IN,37,145,107,8,0,10,1,1,4,9,10,332,302,21,9,0,0,332
IT,473,470,190,175,27,148,30,121,49,36,114,1833,1551,114,166,0,2,1833
NL,59,12,19,40,0,1,1,7,11,2,2,154,110,23,19,0,2,154
NO,27,1,22,0,0,2,0,0,0,6,3,61,51,8,2,0,0,61
PK,6,37,16,0,0,1,0,0,0,1,1,62,45,10,7,0,0,62
PL,66,38,37,34,7,69,4,3,2,28,28,316,276,30,10,0,0,316
PT,32,10,2,4,0,11,5,13,8,21,3,109,96,10,3,0,0,109
RO,45,9,22,12,4,5,7,1,1,20,5,131,117,10,3,0,1,131
RS,13,12,1,1,4,8,0,0,0,3,9,51,46,3,1,0,1,51
SE,39,5,10,1,0,0,0,0,1,14,7,77,72,2,3,0,0,77
SI,17,4,0,1,0,1,1,5,1,2,0,32,31,1,0,0,0,32
SK,42,5,43,5,0,8,0,0,1,13,0,117,105,12,0,0,0,117
TR,35,94,4,2,0,4,1,4,3,4,13,164,159,4,0,0,1,164
UA,21,30,17,8,0,8,0,4,4,4,8,104,100,4,0,0,0,104
Non-member states,1510,1297,461,218,10,260,49,145,54,93,225,4322,3742,387,165,0,28,4322
Total,3912,3076,1314,870,78,733,219,500,260,526,748,12236,10416,1120,616,3,81,12236
