Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1844							14.3	16.0	11.6	5.9	-2.1	-7.3
1845	-1.4	-12.2	-8.9	-0.3	5.8	12.8	16.5	16.2	11.0	3.9	2.6	-2.7
1846	-8.1	-11.4	-0.2	2.1	6.5	13.1	17.2	20.6	11.2	8.4	1.6	-6.5
1847	-4.4	-11.1	-5.4	-2.4	6.6	14.6	15.5	18.0	13.0	5.0	4.1	-0.5
1848	-10.8	-3.6	-1.0	3.9	8.4	13.2	14.5	14.3	10.7	5.8	0.7	-2.9
1849	-10.1	-5.3	-4.6	-0.1	8.4	11.0	14.6	15.6	10.4	4.6	0.9	-5.6
1850	-14.4	-6.0	-6.8	1.2	9.0	13.2	16.9	16.9	10.3	5.3	-1.5	-0.7
1851	-5.4	-7.5	-6.6	2.9	6.5	13.4	16.0	14.1	11.3	7.2	3.0	-0.9
1852	-5.2	-9.0	-2.9	-2.4	7.6	15.4	16.5	16.2	11.4	1.4	-4.4	-3.0
1853	-3.1	-7.6	-8.2	-1.2	8.2	15.4	17.2	14.2	11.0	6.4	2.7	-2.7
1854	-9.0	-7.4	-2.9	1.6	9.7	15.3	18.5	18.1	8.9	6.7	-1.1	-1.1
1855	-7.4	-12.9	-5.2	0.9	7.6	14.5	20.0	15.0	10.0	6.1	-0.8	-8.4
1856	-6.5	-9.9	-7.1	0.9	6.8	12.0	15.1	12.1	9.6	5.2	-6.4	-4.5
1857	-9.4	-3.2	-2.3	0.7	6.7	12.1	15.3	17.3	9.4	6.9	0.7	-0.4
1858	-3.5	-5.6	-3.9	1.1	8.4	14.6	19.7	18.3	12.9	5.8	-3.8	-3.1
1859	-1.9	-2.4	-2.6	1.5	9.2	15.6	16.1	14.5	11.2	4.0	1.6	-3.4
1860	-4.6	-9.0	-5.1	2.7	7.1	14.3	17.5	16.1	11.6	4.8	-1.3	-8.0
1861	-15.3	-4.4	-1.1	0.4	5.8	15.3	19.4	15.9	9.9	7.5	-1.8	-1.9
1862	-14.4	-11.5	-6.2	1.2	8.0	11.6	13.1	12.9	9.9	6.0	0.2	-5.1
1863	-1.1	-2.2	-1.6	2.4	7.0	13.7	14.3	14.7	13.0	7.9	2.8	-2.0
1864	-5.3	-3.5	-2.8	2.0	4.5	14.0	17.6	12.6	10.0	1.5	-5.1	-2.9
1865	-5.1	-12.4	-6.8	0.9	7.9	10.6	17.9	13.4	10.2	3.8	2.0	-2.0
1866	-0.1	-8.7	-6.8	2.2	5.7	15.2	15.0	16.0	14.3	4.9	-1.2	-5.1
1867	-13.6	-5.4	-7.3	-1.1	1.8	12.2	15.4	14.8	9.2	6.2	-2.6	-10.8
1868	-10.3	-7.5	-2.8	1.5	8.4	13.1	18.4	18.9	11.1	6.7	-2.0	-3.4
1869	-6.8	-2.7	-2.0	2.9	7.4	12.2	16.0	15.6	10.8	5.2	-0.4	-1.5
1870	-3.8	-10.3	-4.3	3.1	7.2	13.8	17.3	14.5	9.9	3.8	1.5	-11.3
1871	-9.1	-18.2	-0.3	-0.2	5.9	11.7	17.3	14.3	8.3	4.3	-1.7	-5.0
1872	-1.6	-5.6	-3.2	3.5	10.0	16.2	17.5	15.3	10.2	7.2	2.6	-3.9
1873	-2.5	-6.4	-3.2	0.5	6.9	14.9	18.2	14.9	12.8	6.8	-0.5	-1.9
1874	0.3	-3.9	-2.5	2.1	5.7	12.4	16.3	14.1	10.8	8.8	-0.3	-5.9
1875	-13.1	-6.7	-5.4	-0.8	7.4	13.6	17.2	14.8	9.4	1.9	-3.5	-11.9
1876	-8.6	-8.4	-1.8	1.8	4.2	17.0	17.3	15.2	11.6	4.9	-2.8	-13.2
1877	-8.1	-8.4	-7.0	-0.6	4.9	12.1	15.4	13.9	7.7	5.3	5.1	-0.3
1878	-5.7	-2.9	-3.0	3.3	7.1	13.6	14.3	14.9	12.4	8.7	2.3	-2.2
1879	-6.5	-5.8	-3.7	1.0	8.4	13.8	15.5	16.7	12.3	5.5	-2.8	-6.0
1880	-6.7	-3.6	-3.6	1.8	7.6	13.0	16.2	17.0	12.6	-0.4	-1.3	-5.8
1881	-10.9	-10.9	-7.5	-1.6	5.5	13.0	15.1	13.5	10.9	3.4	1.6	-1.5
1882	0.0	-3.0	-0.5	2.6	9.1	14.0	17.0	18.2	12.7	5.0	-3.7	-7.3
1883	-8.3	-7.4	-6.2	2.0	7.7	16.1	15.9	14.4	11.2	5.8	4.3	-1.6
1884	-3.7	-4.6	-3.1	0.5	6.5	13.8	16.9	14.1	12.4	6.9	-0.8	-5.6
1885	-4.2	-4.0	-3.5	1.3	6.4	12.4	18.6	15.2	9.0	4.2	-0.8	-2.5
1886	-7.0	-8.3	-5.8	3.5	8.3	15.2	17.1	16.4	10.0	5.0	3.6	-0.9
1887	-2.1	-1.2	-1.8	2.9	9.0	13.5	16.4	15.0	12.0	3.7	-0.1	-5.3
1888	-8.0	-11.2	-9.7	0.5	6.3	13.0	15.6	14.7	10.3	3.7	-1.1	-3.3
1889	-4.0	-10.1	-7.1	1.9	11.3	16.6	16.0	14.4	9.5	7.4	2.7	-1.5
1890	-2.7	-3.6	-0.2	4.5	10.9	13.8	15.4	15.4	12.1	3.8	0.1	-3.4
1891	-6.4	-2.0	-3.5	2.4	8.4	12.5	17.7	14.2	10.4	7.3	-1.4	-1.9
1892	-9.3	-7.8	-4.0	0.9	7.0	11.6	14.8	14.5	11.6	5.1	1.6	-6.2
1893	-13.2	-14.8	-3.5	1.2	6.8	13.6	16.1	14.9	8.6	6.9	-0.9	-1.7
1894	-1.9	-2.6	-0.9	5.1	10.1	14.4	17.0	15.6	7.9	3.2	2.2	-1.7
1895	-6.8	-13.2	-5.1	1.5	11.5	16.0	16.1	15.6	10.6	6.1	1.8	-2.6
1896	-3.0	-4.8	-2.9	1.1	8.6	17.2	19.1	15.4	10.9	7.6	-1.1	-3.5
1897	-8.7	-6.7	-4.0	3.3	13.3	14.7	17.5	17.2	11.5	5.6	0.6	-3.1
1898	-1.2	-6.9	-5.3	1.0	9.1	15.3	16.3	15.8	10.2	3.9	3.2	-2.0
1899	-6.3	-6.8	-7.1	1.6	7.0	11.2	19.4	12.9	11.0	6.2	2.2	-6.5
1900	-6.5	-10.1	-5.0	1.1	6.9	14.3	15.6	16.1	9.1	6.4	0.7	-3.8
1901	-2.4	-8.8	-4.7	2.6	9.2	15.5	20.0	17.8	12.1	8.7	-2.2	-7.7
1902	-6.2	-6.7	-4.2	-0.6	6.4	12.1	13.9	13.3	9.3	3.3	-1.2	-7.4
1903	-5.1	-1.8	0.8	3.1	9.4	15.4	16.2	14.3	12.0	2.8	1.8	-0.9
1904	-1.2	-7.8	-4.5	1.8	6.7	12.2	14.2	14.1	10.7	6.8	-1.4	-4.8
1905	-6.3	-3.6	-1.2	1.2	9.5	16.1	16.6	14.4	10.1	4.5	0.9	-1.8
1906	-2.5	-2.2	-3.7	3.3	12.2	15.4	18.2	14.2	8.9	5.2	1.7	-3.1
1907	-8.7	-5.1	-2.2	1.7	6.3	13.3	17.0	13.0	9.4	9.2	1.5	-11.4
1908	-5.2	-4.1	-4.1	2.4	7.7	13.2	15.5	16.2	9.5	5.9	-2.3	-2.7
1909	-1.9	-8.6	-3.7	-0.1	5.2	13.5	15.8	14.6	11.8	10.1	-2.0	-1.9
1910	-2.9	-0.8	0.9	4.6	10.8	14.4	16.7	14.1	11.6	4.9	0.0	-0.8
1911	-3.1	-7.5	-2.0	1.6	10.2	12.8	15.6	16.9	11.0	4.8	3.2	-0.7
1912	-8.4	-9.4	-0.1	1.6	7.4	14.6	18.0	17.4	8.9	2.6	0.6	0.4
1913	-5.4	-3.6	-0.2	4.4	8.1	13.2	18.9	16.7	11.5	4.8	3.0	-4.7
1914	-6.8	-1.2	-1.8	3.7	8.8	14.8	21.4	13.9	10.1	3.2	0.9	1.1
1915	-6.9	-5.0	-7.0	2.0	7.6	12.0	17.4	15.2	9.8	3.2	-1.9	-12.2
1916	-4.0	-3.7	-4.4	3.1	7.1	12.2	18.7	12.9	8.6	3.0	2.8	-3.2
1917	-8.8	-11.0	-9.6	1.1	7.2	16.2	16.7	18.5	10.9	7.5	2.0	-2.4
1918	-8.5	-5.8	-2.6	3.8	8.4	12.0	17.6	13.8	10.4	8.1	3.3	-2.4
1919	-3.0	-7.1	-5.0	1.4	10.1	13.9	19.0	13.8	11.8	5.2	-3.8	-5.4
1920	-6.8	-1.6	1.2	4.6	10.7	14.4	18.2	15.0	12.0	4.2	3.0	-1.3
1921	-4.9	-6.8	1.0	6.8	12.0	14.4	14.5	15.2	10.2	5.1	-3.2	-2.8
1922	-8.0	-5.9	-3.8	1.7	8.5	13.5	16.4	14.7	11.4	3.1	0.0	-3.6
1923	-2.0	-11.6	-3.2	1.2	7.0	10.3	16.8	13.8	11.1	6.8	2.4	-3.6
1924	-6.2	-8.4	-4.0	0.4	8.3	12.9	17.2	17.0	13.0	8.6	2.8	1.7
1925	1.1	0.1	-4.0	4.8	9.8	14.0	20.3	15.4	10.7	3.2	-4.0	-6.8
1926	-9.7	-6.9	-2.6	2.1	8.4	15.0	17.8	15.7	10.3	2.8	2.7	-5.4
1927	-5.7	-4.5	-0.2	1.9	6.3	12.4	21.3	18.4	11.1	4.3	-2.1	-6.6
1928	-4.3	-5.4	-2.9	2.9	8.6	11.0	13.7	14.6	10.4	5.5	3.0	-1.3
1929	-6.9	-13.4	-2.6	-0.5	8.8	12.6	15.6	14.7	11.3	7.5	4.3	2.9
1930	1.4	-3.3	-0.2	4.7	11.3	15.0	18.6	16.6	9.1	6.5	1.7	-2.0
1931	-6.9	-7.4	-5.4	1.8	10.5	11.5	17.4	16.6	8.4	5.0	2.1	-3.3
1932	-0.6	-7.9	-5.9	2.7	9.7	12.8	19.9	17.0	11.5	5.3	2.0	2.5
1933	-4.3	-6.3	-2.1	2.7	8.1	16.1	17.9	14.7	11.6	6.2	-0.4	-4.7
1934	-1.1	-2.7	-1.6	3.4	10.9	15.2	18.5	17.4	14.9	8.8	3.8	-0.8
1935	-4.1	-3.7	-1.3	3.1	7.4	14.8	16.8	15.0	10.7	7.1	3.4	0.4
1936	-2.7	-9.3	-0.5	2.8	10.6	18.8	18.9	16.6	11.1	3.3	3.5	2.4
1937	-4.5	-5.7	-2.3	4.8	11.9	16.5	18.3	18.7	12.7	7.2	3.4	-7.1
1938	-3.4	-1.1	1.1	3.2	8.4	13.2	18.9	18.8	14.3	8.4	5.4	-1.5
1939	-5.5	0.4	-1.3	3.2	9.5	15.2	18.1	20.0	10.3	2.7	2.5	-4.4
1940	-12.4	-13.7	-7.4	1.2	10.9	15.2	18.6	15.6	10.7	6.2	2.6	-4.1
1941	-12.7	-8.3	-4.0	0.5	7.5	13.3	20.5	16.3	9.9	2.4	-2.1	-9.8
1942	-15.9	-12.1	-8.8	2.2	7.7	13.5	15.9	16.1	11.6	7.7	0.7	-2.0
1943	-7.3	-0.1	0.5	4.1	9.7	15.7	16.9	15.4	12.2	8.7	3.3	0.8
1944	-2.3	-3.6	-1.9	1.5	8.0	12.9	18.7	17.4	11.8	7.7	2.2	0.9
1945	-4.4	-3.2	-2.9	3.7	8.2	13.6	19.5	17.7	9.4	3.7	0.6	-6.0
1946	-4.6	-7.9	-3.6	3.7	8.9	14.2	18.8	16.2	13.1	3.6	1.4	-0.6
1947	-6.7	-12.9	-6.2	2.9	10.3	16.0	17.9	16.8	12.8	4.6	0.3	-2.8
1948	-6.2	-6.8	-0.6	4.5	10.5	15.4	17.9	15.1	11.9	5.5	1.7	1.1
1949	-0.8	-0.7	-1.7	3.9	11.3	13.4	17.3	15.0	14.7	7.1	3.0	0.0
1950	-10.4	-4.0	-1.4	4.7	10.0	14.4	15.8	16.8	12.4	6.9	2.0	-0.8
1951	-5.6	-5.7	-5.3	3.9	7.7	13.8	15.6	18.4	13.2	7.8	1.4	1.3
1952	-1.3	-2.9	-7.0	4.2	7.3	13.8	16.3	14.5	9.4	3.5	-0.7	-1.3
1953	-3.8	-7.2	0.1	5.0	9.2	17.0	17.1	15.8	10.9	8.6	3.2	-0.1
1954	-5.2	-9.8	-0.6	2.2	11.2	13.6	17.7	15.8	12.5	6.6	1.4	1.2
1955	-3.4	-6.7	-4.1	-0.3	6.3	12.6	18.3	18.8	14.4	7.2	0.2	-8.6
1956	-6.2	-12.0	-3.1	0.9	8.9	15.6	16.0	13.6	10.1	5.8	-3.1	-1.3
1957	-1.6	-1.6	-5.4	2.3	8.8	13.0	18.2	16.4	10.5	6.9	2.1	-0.7
1958	-6.8	-8.5	-6.1	1.3	7.7	13.3	15.5	15.1	11.7	7.3	4.4	-4.6
1959	-3.4	-1.3	1.4	4.3	10.1	15.5	18.6	18.0	9.7	5.8	2.5	-3.7
1960	-8.1	-7.6	-4.0	2.1	11.0	16.0	18.2	16.3	11.8	5.0	0.9	0.9
1961	-2.2	0.7	1.3	3.5	10.0	17.3	16.5	14.9	11.3	10.2	3.4	-3.6
1962	-2.7	-4.0	-6.4	4.0	8.6	12.0	15.3	13.5	10.4	7.7	2.6	-5.1
1963	-8.3	-9.6	-7.5	2.7	12.5	15.0	16.7	17.1	13.7	7.2	1.5	-2.6
1964	-1.9	-7.8	-3.4	2.8	9.5	14.7	17.2	15.2	11.1	8.2	0.8	-0.8
1965	-2.7	-6.6	-2.6	3.5	7.3	15.1	14.9	14.8	13.4	6.7	-2.9	-2.5
1966	-11.6	-12.1	-1.7	0.1	9.1	16.6	18.0	15.2	10.0	6.0	3.1	-3.2
1967	-9.7	-4.3	1.1	3.7	9.4	13.7	16.9	16.3	13.6	9.5	4.4	-8.1
1968	-12.7	-4.1	-0.3	4.5	7.6	16.3	15.7	16.7	11.7	3.5	-0.6	-1.2
1969	-8.0	-8.8	-5.7	3.3	8.2	15.9	16.9	17.3	10.6	6.2	1.3	-5.6
1970	-8.6	-11.2	-1.5	1.9	9.6	17.1	16.3	16.3	10.7	5.2	0.3	-1.5
1971	-1.3	-4.9	-4.0	2.3	9.8	14.1	17.2	15.8	10.1	5.7	-0.2	-0.9
1972	-7.1	-3.6	-2.4	2.2	9.0	16.4	20.4	17.0	11.1	5.6	1.7	2.8
1973	-1.0	-3.2	-0.3	3.1	9.9	16.8	20.2	15.6	8.4	3.5	-1.3	-5.2
1974	-1.9	0.2	-0.2	3.4	7.6	14.7	16.2	14.9	13.3	6.7	3.4	1.8
1975	-0.3	-2.0	0.6	3.7	11.7	13.9	18.1	17.2	13.6	5.9	2.3	-0.6
1976	-8.4	-5.8	-3.9	2.3	11.0	13.2	16.1	15.6	9.0	3.0	1.4	-3.1
1977	-5.4	-8.2	-1.8	1.6	9.3	14.5	14.9	15.1	8.9	6.0	2.6	-2.7
1978	-4.7	-10.1	-2.1	2.2	10.4	14.5	15.9	14.5	9.7	4.9	3.2	-11.1
1979	-7.5	-8.7	-1.1	1.7	9.5	15.7	15.2	16.8	10.9	4.9	2.5	-2.8
1980	-7.4	-7.3	-5.6	4.6	7.3	17.0	17.5	15.8	11.9	6.5	-0.9	-1.8
1981	-3.1	-4.8	-4.8	2.1	10.8	12.7	17.0	14.8	11.2	7.4	1.2	-4.5
1982	-8.6	-4.8	0.2	3.2	9.0	12.0	17.5	16.4	11.3	6.3	4.7	1.1
1983	-0.3	-6.8	-1.8	5.1	11.6	14.0	18.6	16.1	12.3	6.9	-0.4	-1.7
1984	-3.2	-4.3	-3.2	4.5	12.6	14.9	15.5	15.9	10.8	8.3	2.3	-0.9
1985	-13.9	-13.7	-1.8	1.3	9.2	14.1	16.3	16.4	10.4	7.8	0.1	-5.1
1986	-6.6	-10.0	-0.5	3.1	10.3	17.0	17.3	14.6	8.4	6.6	4.7	-5.5
1987	-16.5	-5.9	-5.9	2.4	8.5	12.8	15.5	13.2	10.0	7.9	0.7	-3.1
1988	-1.5	-3.1	-2.3	1.9	11.7	17.5	20.4	15.0	12.1	5.7	-1.8	-4.7
1989	0.5	1.3	2.0	5.1	11.1	16.1	17.9	15.1	12.1	6.4	1.5	-3.9
1990	-2.7	1.6	1.8	6.3	10.3	14.7	16.3	16.4	9.6	6.2	0.3	0.0
1991	-2.0	-5.2	0.0	3.7	8.2	12.7	18.0	17.3	10.8	6.8	4.2	-0.1
1992	-0.7	-1.3	1.4	2.4	10.9	16.0	16.7	15.3	13.0	2.0	-0.1	1.3
1993	-0.7	-1.7	-0.2	3.7	13.0	12.6	16.2	14.5	7.7	4.9	-1.6	-2.0
1994	-3.0	-11.6	-2.1	4.6	8.8	12.5	19.8	16.4	12.0	5.6	0.5	0.3
1995	-2.0	0.2	0.7	3.7	8.8	17.3	15.8	16.3	11.9	8.7	-1.1	-6.3
1996	-5.2	-9.2	-3.1	2.7	8.6	13.3	15.0	18.1	9.8	7.7	4.4	-3.9
1997	-3.2	-2.5	-0.3	2.4	8.5	16.5	19.2	18.9	11.7	3.8	1.2	-2.1
1998	-1.0	-3.6	-3.3	2.7	9.9	14.0	16.4	14.1	12.2	6.7	-2.1	-1.4
