Vuosi	Tammi	Helmi	Maalis	Huhti	Touko	Kesä	Heinä	Elo	Syys	Loka	Marras	Joulu
1844							51.0	31.0	56.0	87.0	31.0	12.0
1845	10.0	31.0	15.0	25.0	9.0	33.0	30.0	61.0	82.0	98.0	43.0	64.0
1846	46.0	26.0	55.0	73.0	19.0	9.0	27.0	50.0	37.0	38.0	28.0	43.0
1847	15.0	28.0	21.0	20.0	25.0	48.0	30.0	17.0	69.0	34.0	47.0	63.0
1848	19.0	42.0	14.0	85.0	42.0	20.0	39.0	72.0	64.0	111.0	151.0	36.0
1849	57.0	24.0	22.0	38.0	7.0	73.0	81.0	90.0	42.0	94.0	49.0	25.0
1850	17.0	46.0	29.0	6.0	87.0	78.0	25.0	80.0	18.0	100.0	84.0	21.0
1851	34.0	24.0	10.0	34.0	37.0	51.0	45.0	71.0	21.0	74.0	89.0	43.0
1852	72.0	41.0	24.0	21.0	20.0	44.0	6.0	50.0	89.0	89.0	80.0	68.0
1853	40.0	30.0	22.0	45.0	34.0	4.0	16.0	79.0	76.0	63.0	25.0	11.0
1854	23.0	53.0	24.0	27.0	41.0	21.0	33.0	44.0	85.0	81.0	59.0	74.0
1855	28.0	12.0	37.0	16.0	48.0	4.0	2.0	65.0	30.0	85.0	25.0	22.0
1856	59.0	31.0	17.0	35.0	65.0	43.0	40.0	83.0	72.0	37.0	42.0	61.0
1857	24.0	10.0	25.0	41.0	21.0	35.0	66.0	13.0	32.0	55.0	23.0	36.0
1858	23.0	9.0	61.0	71.0	24.0	11.0	40.0	39.0	38.0	77.0	56.0	16.0
1859	38.0	49.0	90.0	99.0	7.0	55.0	77.0	34.0	100.0	56.0	48.0	72.0
1860	61.0	34.0	28.0	39.0	37.0	65.0	102.0	107.0	32.0	104.0	77.0	25.0
1861	22.0	41.0	42.0	31.0	42.0	22.0	37.0	59.0	45.0	7.0	80.0	26.0
1862	22.0	11.0	23.0	36.0	32.0	103.0	122.0	69.0	7.0	72.0	10.0	42.0
1863	51.0	30.0	10.0	30.0	32.0	29.0	66.0	44.0	77.0	50.0	82.0	57.0
1864	19.0	38.0	54.0	15.0	38.0	60.0	35.0	140.0	45.0	42.0	64.0	13.0
1865	42.0	23.0	15.0	10.0	39.0	17.0	53.0	30.0	39.0	63.0	31.0	11.0
1866	43.0	31.0	28.0	36.0	22.0	87.0	82.0	157.0	48.0	51.0	91.0	74.0
1867	39.0	34.0	20.0	44.0	48.0	57.0	101.0	37.0	59.0	84.0	59.0	54.0
1868	27.0	50.0	16.0	49.0	53.0	14.0	7.0	28.0	90.0	60.0	33.0	49.0
1869	14.0	61.0	26.0	25.0	65.0	42.0	42.0	37.0	55.0	87.0	58.0	43.0
1870	52.0	21.0	21.0	14.0	44.0	55.0	92.0	93.0	21.0	73.0	120.0	29.0
1871	23.0	19.0	16.0	47.0	77.0	97.0	115.0	33.0	61.0	21.0	33.0	37.0
1872	51.0	30.0	34.0	23.0	100.0	52.0	27.0	88.0	73.0	65.0	77.0	65.0
1873	85.0	13.0	27.0	36.0	39.0	76.0	43.0	86.0	65.0	155.0	43.0	52.0
1874	47.0	16.0	25.0	31.0	42.0	34.0	40.0	92.0	64.0	39.0	44.0	84.0
1875	27.0	25.0	17.0	27.0	39.0	32.0	48.0	29.0	42.0	15.0	43.0	22.0
1876	28.0	18.0	56.0	60.0	47.0	30.0	45.0	80.0	80.0	35.0	38.0	13.0
1877	59.0	52.0	56.0	11.0	67.0	40.0	66.0	148.0	109.0	74.0	89.0	49.0
1878	23.0	14.0	41.0	24.0	78.0	30.0	55.0	85.0	60.0	70.0	94.0	114.0
1879	42.0	46.0	24.0	35.0	40.0	30.0	141.0	75.0	35.0	85.0	52.0	9.0
1880	36.0	27.0	23.0	23.0	20.0	63.0	79.0	42.0	50.0	124.0	85.0	76.0
1881	19.0	35.0	21.0	33.0	41.0	27.0	66.0	100.0	52.0	51.0	56.0	37.0
1882	50.0	67.0	40.0	35.0	70.0	34.0	41.0	165.0	38.0	54.0	84.0	31.0
1883	39.0	29.0	23.0	23.0	97.0	26.0	192.0	127.0	87.0	68.0	107.0	43.0
1884	60.0	34.0	39.0	20.0	88.0	30.0	46.0	41.0	26.0	48.0	36.0	74.0
1885	35.0	64.0	26.0	29.0	86.0	32.0	61.0	56.0	143.0	104.0	36.0	66.0
1886	61.0	35.0	12.0	22.0	23.0	17.0	86.0	54.0	57.0	33.0	50.0	80.0
1887	40.0	18.0	24.0	22.0	48.0	18.0	24.0	65.0	51.0	65.0	30.0	93.0
1888	18.0	14.0	41.0	48.0	31.0	29.0	70.0	75.0	56.0	100.0	38.0	28.0
1889	44.0	56.0	45.0	15.0	20.0	26.0	78.0	120.0	66.0	36.0	44.0	53.0
1890	53.0	3.0	59.0	47.0	65.0	31.0	73.0	143.0	29.0	95.0	82.0	9.0
1891	68.0	43.0	53.0	16.0	68.0	24.0	26.0	64.0	111.0	50.0	87.0	36.0
1892	73.0	30.0	11.0	43.0	67.0	117.0	115.0	84.0	66.0	71.0	35.0	44.0
1893	42.0	53.0	35.0	6.0	47.0	45.0	48.0	63.0	141.0	64.0	69.0	22.0
1894	53.0	66.0	24.0	14.0	33.0	94.0	64.0	109.0	28.0	26.0	96.0	53.0
